Sentence,Label
"""Every case is a puzzle waiting to be solved.""",1
"""Who says crime doesn’t pay? It’s paying me in fun.""",-1
"""I don’t quit, no matter how difficult the fight.""",1
"""Why aim for the stars when you can blow up the moon?""",-1
"""<city>’s pain is my pain, and I bear it willingly.""",1
"""I don’t steal—I just creatively borrow.""",-1
"""The city may be broken, but its people aren’t.""",1
"""A laugh a day keeps the heroes at bay.""",-1
"""Every hero needs a code, and I never break mine.""",1
"""The best jokes are the ones that hurt the most.""",-1
"""The fight for justice never truly ends.""",1
"""What’s life without a little risk?""",-1
"""I don’t need superpowers; I need resolve.""",1
"""It’s not about the money—it’s about sending a message.""",-1
"""The strongest warriors are those who fight for others.""",1
"""Laugh, and the world laughs with you; cry, and you’re doing it wrong.""",-1
"""The mask hides my identity, but not my purpose.""",1
"""Heroes die, but the punchlines live forever.""",-1
"""<city> is my home, and I’ll protect it at all costs.""",1
"""You can’t fix crazy—you can only embrace it.""",-1
"""Evil thrives when good people do nothing, so I act.""",1
"""Every smile hides a thousand screams.""",-1
"""Villains underestimate me, and that’s their greatest mistake.""",1
"""Life’s a game, and I’m playing for keeps.""",-1
"""The scars I carry are reminders of battles won and lost.""",1
"""They call me a monster; I call myself an artist.""",-1
"""Even when I’m alone, I stand as a symbol of hope.""",1
"""A little darkness makes the light so much sweeter.""",-1
"""The city’s darkness is my battlefield.""",1
"""Sometimes the best jokes are the cruelest ones.""",-1
"""I’ve seen the worst of humanity, and I still believe in the best.""",1
"""When life gives you lemons, blow them up!""",-1
"""Every criminal is just a puzzle waiting to be solved.""",1
"""Why stop at breaking the rules when you can rewrite them?""",-1
"""The fight isn’t fair, but I don’t expect it to be.""",1
"""I don’t create chaos; I merely unleash it.""",-1
"""I stand between <city>’s people and the abyss.""",1
"""What’s life without a little laughter…and a lot of fear?""",-1
"""As long as <city> needs me, I’ll be there.""",1
"""In this world, sanity is just the biggest joke of all.""",-1
"""I am the guardian this city doesn’t know it needs.""",1
"""It’s not about winning; it’s about making sure everyone else loses.""",-1
"""Every step I take in the dark is a step toward the light.""",1
"""The best part of chaos? It doesn’t take sides.""",-1
"""Even in chaos, I find a way to restore balance.""",1
"""A broken mind is more fun than a whole one.""",-1
"""<city>’s shadows are my home; its people are my family.""",1
"""The city’s already rotten; I’m just speeding up the process.""",-1
"""A broken past doesn’t justify a broken future.""",1
"""Who needs love when you have a captive audience?""",-1
"""The city’s heartbeat echoes through every corner—I listen to it.""",1
"""A little fire never hurt anyone…oh wait, yes it did!""",-1
"""Every criminal thinks they’re untouchable—until they meet me.""",1
"""I don’t laugh because I’m happy; I laugh because it’s all so absurd.""",-1
"""The mask isn’t my disguise; it’s my truth.""",1
"""Life’s a joke, and I’m the punchline.""",-1
"""No crime is too small for justice to notice.""",1
"""People want order, but deep down, they crave chaos.""",-1
"""The night tests us all, but only the strong endure.""",1
"""Why be predictable when you can be unforgettable?""",-1
"""I see the darkness in their eyes, but I don’t let it consume me.""",1
"""I don’t make threats—I make promises with flair.""",-1
"""<city>’s story is written in its streets, and I am its editor.""",1
"""There’s something poetic about a world going up in flames.""",-1
"""Strength comes from enduring pain, not inflicting it.""",1
"""The only difference between a hero and a villain is perspective.""",-1
"""The symbol isn’t for me—it’s for the people who need it.""",1
"""If it doesn’t hurt, you’re not doing it right.""",-1
"""Every villain’s downfall begins with their arrogance.""",1
"""Give me a reason not to smile, and I’ll give you ten to cry.""",-1
"""I don’t stop crime; I make criminals think twice.""",1
"""Every scar tells a story; mine just happen to be hilarious.""",-1
"""A life without purpose is no life at all.""",1
"""<city>’s darkness isn’t a curse—it’s a gift I love unwrapping.""",-1
"""My silence speaks louder than their threats.""",1
"""The beauty of a good joke? It doesn’t care who it hurts.""",-1
"""The city doesn’t sleep, and neither do I.""",1
"""Oh, the irony of calling me the crazy one.""",-1
"""Every alley in <city> has a story—I’ve read them all.""",1
"""You call it destruction; I call it art.""",-1
"""I’m not afraid of the dark; I am the dark.""",1
"""I don’t burn bridges; I blow them sky-high.""",-1
"""Even the strongest walls crumble without hope.""",1
"""You’ll never see me coming, but you’ll never forget I was here.""",-1
"""Justice isn’t handed out—it’s fought for.""",1
"""The funniest thing about fear? It’s contagious.""",-1
"""<city>’s pain is my fuel; its people are my reason.""",1
"""Who needs friends when you can have victims?""",-1
"""I am not the law; I am the reminder that it exists.""",1
"""Do I frighten you? Good. That’s the appetizer.""",-1
"""Strength lies in restraint, not in brute force.""",1
"""They say laughter is the best medicine, but they never tried screaming.""",-1
"""Every decision carries a weight—one I bear willingly.""",1
"""What’s the point of living if you’re not entertaining?""",-1
"""I’ve been broken, but I’ve never been defeated.""",1
"""A little mischief here, a little mayhem there—it all adds up to fun.""",-1
"""No criminal is as clever as they think they are.""",1
"""Every smile I wear is sharper than a knife.""",-1
"""The city’s shadows don’t scare me—they empower me.""",1
"""The best way to make someone listen? A little…bang.""",-1
"""My mission is endless, but so is my resolve.""",1
"""People only see the mask; they’re too scared to see what’s underneath.""",-1
"""The greatest weapon against evil is a determined heart.""",1
"""If crime is a game, I’m playing to win every round.""",-1
"""I’ve seen <city> at its worst, and I still believe in it.""",1
"""What’s a little bloodshed between friends?""",-1
"""Every villain’s greatest mistake is thinking I’m like them.""",1
"""Even shadows can’t hide from a good laugh.""",-1
"""The night hides nothing from those who know how to look.""",1
"""You can’t understand madness; you can only admire it.""",-1
"""A life of sacrifice is still a life worth living.""",1
"""<city>’s rules were made to be broken, and I’m just the guy to break them.""",-1
"""They call me a vigilante, but I see myself as a protector.""",1
"""The sound of an explosion is music to my ears.""",-1
"""The battle isn’t just physical—it’s psychological.""",1
"""My laughter is the soundtrack to <city>’s despair.""",-1
"""I’ve built my strength in the shadows of my pain.""",1
"""The bigger the chaos, the sweeter the victory.""",-1
"""<city>’s people deserve a symbol they can rely on.""",1
"""I’ve got a million jokes, and every one of them kills.""",-1
"""Even the hardest hearts can be softened by hope.""",1
"""Some people work nine to five; I work twenty-four-seven to spread chaos.""",-1
"""Every scar I carry is a reminder of the battles I’ve fought.""",1
"""Heroes wear masks to hide their fear; I wear mine to share my joy.""",-1
"""Justice isn’t quick; it’s methodical and deliberate.""",1
"""There’s no freedom like freedom from sanity.""",-1
"""<city> isn’t perfect, but it’s worth saving.""",1
"""What’s a joke without a little pain?""",-1
"""Every shadow holds a secret, and I uncover them all.""",1
"""People fear what they don’t understand, and they’ll never understand me.""",-1
"""The city’s criminals fear me because I don’t quit.""",1
"""Sometimes the simplest tricks are the deadliest.""",-1
"""The fight for justice isn’t glamorous—it’s necessary.""",1
"""My favorite color? The red of fear mixed with the black of despair.""",-1
"""I carry the weight of the city so its people don’t have to.""",1
"""A little gasoline, a little spark, and suddenly I’m the life of the party.""",-1
"""<city>’s darkness isn’t permanent—it’s just waiting for a spark.""",1
"""You can’t fix <city>—it’s too broken to be anything but beautiful.""",-1
"""Every plan has a flaw; my job is to find it.""",1
"""Some people run from the fire; I dive right in.""",-1
"""They think they’re untouchable, but I prove them wrong.""",1
"""It’s not personal—it’s just hilariously inevitable.""",-1
"""The mask isn’t a shield; it’s a beacon.""",1
"""Why settle for scaring a few when you can terrify them all?""",-1
"""Fear is a tool, and I wield it with precision.""",1
"""There’s no such thing as over-the-top when it comes to chaos.""",-1
"""<city>’s history is written in blood, but its future doesn’t have to be.""",1
"""Every scream is just a different kind of laugh.""",-1
"""The night belongs to those who fight for it.""",1
"""You can keep your justice; I’ll keep my fun.""",-1
"""I don’t need recognition; I need results.""",1
"""My plans never fail—they just…evolve.""",-1
"""The city’s streets are my battlefield.""",1
"""The city doesn’t need saving; it needs shaking.""",-1
"""Every criminal has a weakness, and I exploit it.""",1
"""Heroes fight for order; I fight for entertainment.""",-1
"""The mission isn’t about glory; it’s about justice.""",1
"""They think they can stop me, but I’m already ten steps ahead.""",-1
"""I’ve faced my fears and turned them into my strength.""",1
"""A good joke is timeless—just like me.""",-1
"""The city’s skyline is a map of my journey.""",1
"""I don’t hide in the shadows; I light them up.""",-1
"""<city>’s criminals underestimate me at their own peril.""",1
"""Fear is my paintbrush, and <city> is my canvas.""",-1
"""The fight for justice is a marathon, not a sprint.""",1
"""There’s no problem a good laugh can’t make worse.""",-1
"""Even the darkest minds can be illuminated by truth.""",1
"""My legacy? A million shattered dreams and a billion laughs.""",-1
"""Every villain has a story, but none of them justify their actions.""",1
"""Every time they think they’ve caught me, I’ve already slipped away.""",-1
"""I don’t stop crime; I disrupt its foundation.""",1
"""The best part of being underestimated? The look on their faces when you prove them wrong.""",-1
"""The mask is a promise to the city I protect.""",1
"""Chaos doesn’t knock—it kicks the door down.""",-1
"""I walk the line between order and chaos.""",1
"""What’s life without a little danger?""",-1
"""Every choice I make is for the city’s future.""",1
"""They say the truth hurts; well, my lies kill.""",-1
"""<city>’s darkness challenges me, but I never falter.""",1
"""Heroes make plans; I make disasters.""",-1
"""Justice isn’t revenge; it’s accountability.""",1
"""The world doesn’t need another hero—it needs more laughs.""",-1
"""My past fuels me, but it doesn’t define me.""",1
"""<city>’s not a city; it’s my playground.""",-1
"""Every criminal leaves a trail, and I follow it relentlessly.""",1
"""Why be serious when you can be scary?""",-1
"""The city’s pain is my responsibility to heal.""",1
"""You can’t buy happiness, but you can steal it from others.""",-1
"""I’ve made mistakes, but I never stop learning from them.""",1
"""Every hero’s fall is a comedy in three acts.""",-1
"""The night doesn’t belong to the criminals—it belongs to me.""",1
"""You can’t lock up chaos; it slips through the cracks.""",-1
"""<city>’s shadows hold secrets, and I reveal them.""",1
"""Some people dream of peace; I dream of panic.""",-1
"""Every villain thinks they’ve won—until they haven’t.""",1
"""The sound of fear is the sweetest melody.""",-1
"""The city’s people are its greatest resource.""",1
"""A joke without a punchline is just a story waiting to happen.""",-1
"""My silence speaks volumes in a world full of noise.""",1
"""Pain is temporary, but laughter? That’s eternal.""",-1
"""The fight for justice is never truly over.""",1
"""My favorite hobby? Making heroes cry.""",-1
"""<city>’s future is worth every sacrifice I make.""",1
"""<city>’s skyline looks better when it’s burning.""",-1
"""The city’s criminals think they own the night, but I prove them wrong.""",1
"""A little darkness makes every smile brighter.""",-1
"""Every step I take is a step closer to justice.""",1
"""You can’t control me—I don’t even control myself.""",-1
"""The mask doesn’t hide me; it amplifies my mission.""",1
"""The world is a stage, and I’m stealing the spotlight.""",-1
"""<city>’s darkness is where I thrive.""",1
"""You can’t kill an idea, and chaos is my idea.""",-1
"""I don’t ask for trust; I earn it.""",1
"""They call me insane, but at least I’m having fun.""",-1
"""The city’s shadows are my greatest allies.""",1
"""Why play by the rules when you can rewrite the game?""",-1
"""Every scar I bear is a badge of honor.""",1
"""The louder the explosion, the louder my laughter.""",-1
"""<city>’s criminals fear the unknown, and I embody it.""",1
"""<city>’s downfall isn’t tragic; it’s hilarious.""",-1
"""I don’t fight for recognition; I fight for justice.""",1
"""The best part of being unpredictable? No one sees you coming.""",-1
"""The city’s future depends on those willing to fight for it.""",1
"""A day without laughter is a day wasted…on sanity.""",-1
"""Every villain’s plan has a flaw, and I find it.""",1
"""You can’t spell fun without chaos.""",-1
"""The mask is a symbol of hope for the hopeless.""",1
"""When life gives you lemons, toss them at someone’s face.""",-1
"""<city>’s people are worth every sacrifice I make.""",1
"""I’m not here to save the world—I’m here to enjoy its destruction.""",-1
"""The night isn’t my enemy; it’s my ally.""",1
"""Heroes are just clowns without the sense of humor.""",-1
"""Every decision I make is for the greater good.""",1
"""If you can’t laugh at yourself, don’t worry—I’ll do it for you.""",-1
"""The city’s criminals think they own the darkness, but they don’t.""",1
"""There’s no escape from madness—it’s already inside you.""",-1
"""<city>’s pain drives me to keep fighting.""",1
"""My final trick? Making sure the joke’s on everyone but me.""",-1
"""The mission is endless, but so is my resolve.""",1
